id	min	max	sign
bb0i10	1024	1031	0
bb0i11	1024	1031	0
bb0i12	1018	1018	0
bb0i13	1018	1018	0
bb1i2	1024	1031	0
bb1i5	1018	1018	0
bb1i7	1024	1027	0
bb1i9	1023	1023	0
bb1i13	1024	1027	0
bb1i14	1024	1031	0
bb2i2	1024	1031	0
bb3i0	1002	1027	0
bb3i1	1007	1031	0
bb3i3	1022	1031	0
bb5i4	1018	1027	0
bb5i5	1024	1031	0
bb5i6	1017	1018	0
bb5i10	1018	1027	0
bb5i11	1024	1031	0
bb5i12	998	1017	0
bb5i15	121	122	0
bb5i16	102	121	0
bb7i7	122	127	0
bb7i11	1018	1027	0
bb7i12	1024	1031	0
bb7i13	998	1020	0
bb7i14	1002	1025	0
bb8i1	1004	1027	0
bb8i5	1004	1022	0
bb8i7	104	127	0
bb9i2	100	127	0
bb9i4	108	127	0
bb9i5	95	127	0
bb9i6	98	128	0
bb9i8	105	127	0
bb9i9	94	127	0
bb9i10	95	128	0
bb10i2	108	128	0
bb10i4	108	128	0
bb10i5	107	128	0
bb10i7	107	128	0
