id	min	max	sign
bb3i1	1024	1024	0
bb6i4	113	134	0
bb6i9	110	134	0
bb6i14	112	134	0
bb6i15	112	134	0
bb6i19	113	134	0
bb6i20	113	134	0
bb6i21	113	134	0
bb6i22	110	134	0
bb8i5	1017	1024	0
bb8i9	999	1022	0
bb8i12	120	127	0
bb8i14	1016	1022	0
bb8i18	1017	1024	0
bb8i19	1011	1024	0
bb11i8	104	140	0
bb11i13	109	141	0
bb11i15	87	140	0
bb11i16	107	134	0
bb11i17	109	140	0
bb11i19	87	141	0
bb11i20	102	134	0
bb11i21	109	141	0
bb11i26	107	140	0
bb11i27	107	135	0
bb11i28	107	135	0
bb11i32	108	140	0
bb11i33	108	135	0
bb11i34	108	135	0
bb11i35	107	140	0
bb11i36	104	141	0
bb11i37	104	141	0
bb11i38	108	140	0
bb11i39	109	141	0
bb11i40	109	141	0
bb12i0	116	127	0
bb12i1	90	128	0
bb12i2	115	128	0
bb12i3	101	127	0
bb12i5	96	127	0
bb12i6	109	126	0
bb12i7	103	127	0
bb12i8	102	127	0
bb19i5	114	134	0
bb19i8	114	134	0
bb19i11	112	134	0
bb19i14	112	134	0
bb21i3	118	141	0
bb21i8	118	141	0
bb21i11	115	141	0
bb21i14	115	141	0
